idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
1,37,2,0,0,12.0,0,0,1,0,5.0,6.0,1.0,11.739125,48.0,10.333334,5.3333335
2,37,2,0,0,12.0,0,0,1,1,4.0,5.0,1.0,6.4009633,40.0,13.621795,5.25
3,42,2,0,1,12.0,0,0,1,1,4.0,3.0,,5.0167227,40.0,17.73077,1.25
4,43,1,1,0,17.0,1,0,1,0,11.0,13.0,1.0,9.0338125,42.0,13.211537,1.75
6,42,1,1,0,12.0,0,0,1,0,4.0,6.0,0.0,8.0837307,48.0,17.820513,17.75
7,39,1,1,0,12.0,0,0,1,0,11.0,3.0,0.0,4.6296296,30.0,7.3269229,2.25
9,37,1,0,0,12.0,0,0,1,1,5.0,2.0,1.0,10.491142,40.0,19.04487,19.0
12,40,1,1,0,18.0,1,0,1,0,11.0,2.0,0.0,17.206116,45.0,15.557693,14.166667
13,40,1,1,0,14.0,0,0,1,0,11.0,3.0,0.0,13.083735,8.0,14.25,5.5
14,40,1,1,0,15.0,0,0,1,0,11.0,1.0,0.0,7.7455678,50.0,7.3846154,2.25
15,39,1,1,0,16.0,1,0,1,0,11.0,1.0,1.0,16.795479,16.0,15.769231,8.416667
16,40,1,1,0,15.0,0,0,1,0,11.0,1.0,0.0,15.48309,40.0,16.384615,13.833333
18,40,1,1,0,15.0,0,0,1,0,6.0,5.0,0.0,5.2334948,40.0,7.75,7.75
19,40,1,0,0,15.0,0,0,1,0,11.0,1.0,1.0,10.161026,40.0,14.211538,5.5833335
20,39,1,1,0,15.0,0,0,1,0,11.0,1.0,1.0,9.6618366,4.0,15.858974,4.6666665
22,41,1,1,0,15.0,0,0,1,0,11.0,1.0,0.0,9.057972,32.0,15.012821,3.0
23,42,1,1,0,15.0,1,0,0,0,11.0,1.0,0.0,8.0515299,45.0,15.346155,8.083333
