mare,stime,follicles,sin1,cos1,time
1,-0.1363636,20,-0.7557494,0.65486091,1
1,-0.090909101,15,-0.54064089,0.84125352,2
1,-0.045454551,19,-0.28173259,0.95949298,3
1,0.0,16,0.0,1.0,4
1,0.045454551,13,0.28173259,0.95949298,5
1,0.090909101,10,0.54064089,0.84125352,6
1,0.1363636,12,0.7557494,0.65486091,7
1,0.1818182,14,0.90963203,0.4154149,8
1,0.2272727,13,0.98982143,0.14231499,9
1,0.27272731,20,0.98982143,-0.14231507,10
1,0.31818181,22,0.90963203,-0.41541499,11
1,0.3636364,15,0.7557494,-0.65486091,12
1,0.40909091,18,0.54064083,-0.84125352,13
1,0.4545455,17,0.28173229,-0.95949304,14
1,0.5,14,1.2246469000000002e-16,-1.0,15
1,0.5454545,18,-0.28173229,-0.95949304,16
1,0.59090912,14,-0.54064101,-0.8412534,17
1,0.63636363,16,-0.75574952,-0.65486079,18
1,0.68181819,17,-0.90963203,-0.41541499,19
1,0.72727269,18,-0.98982143,-0.14231507,20
1,0.77272731,18,-0.98982143,0.14231507,21
1,0.81818181,17,-0.90963203,0.41541499,22
1,0.86363637,14,-0.75574952,0.65486079,23
1,0.90909088,12,-0.54064101,0.8412534,24
1,0.9545455,12,-0.28173229,0.95949304,25
1,1.0,14,-2.4492937000000003e-16,1.0,26
1,1.045455,10,0.28173518,0.95949221,27
1,1.090909,11,0.54064035,0.84125382,28
1,1.136364,16,0.75575101,0.65485907,29
2,-0.15000001,6,-0.809017,0.58778524,1
2,-0.1,6,-0.58778524,0.809017,2
2,-0.050000001,8,-0.309017,0.95105654,3
2,0.0,7,0.0,1.0,4
2,0.050000001,16,0.309017,0.95105654,5
2,0.1,10,0.58778524,0.809017,6
2,0.15000001,13,0.809017,0.58778524,7
2,0.2,9,0.95105654,0.30901697,8
2,0.25,7,1.0,6.1232343e-17,9
2,0.30000001,6,0.95105648,-0.30901706,10
2,0.34999999,8,0.809017,-0.58778524,11
2,0.40000001,8,0.58778524,-0.809017,12
2,0.44999999,6,0.30901706,-0.95105648,13
2,0.5,8,1.2246469000000002e-16,-1.0,14
2,0.55000001,7,-0.30901706,-0.95105648,15
2,0.60000002,9,-0.58778536,-0.80901688,16
