arrests,countyid,density,popul,perc1019,perc2029,percblack,percmale,rpcincmaint,rpcpersinc,rpcunemins,year,murders,murdrate,arrestrate,statefips,countyfips,execs,lpopul,execrate
140,6001,1503.06,1108480,15.76,19.92,18.57,42.01,312.25,14384.38,92.34,1980,171,1.542653,1.262991,6,1,0,13.9185,0.0
192,6001,1526.66,1125888,15.3,20.08,18.5,42.1,301.95,14361.84,86.74,1981,188,1.669793,1.705321,6,1,0,13.93408,0.0
184,6001,1545.75,1139968,14.77,20.17,18.46,42.09,290.83,14207.44,130.41,1982,137,1.201788,1.61408,6,1,0,13.94651,0.0
187,6001,1573.53,1160448,14.25,20.15,18.42,42.03,292.88,14646.8,133.4,1983,136,1.171961,1.611447,6,1,0,13.96432,0.0
173,6001,1598.52,1178880,13.75,20.04,18.36,42.06,286.38,15384.65,79.76,1984,160,1.35722,1.467495,6,1,0,13.98008,0.0
188,6001,1623.51,1197312,13.38,19.81,18.3,42.05,283.97,15874.37,69.6,1985,143,1.194342,1.570184,6,1,0,13.99559,0.0
175,6001,1647.81,1215232,13.08,19.47,18.24,42.02,292.16,16304.35,71.21,1986,174,1.431825,1.440054,6,1,0,14.01045,0.0
161,6001,1666.55,1229056,12.88,19.03,18.23,42.03,303.6,16353.91,53.68,1987,147,1.19604,1.309948,6,1,0,14.02176,0.0
152,6001,1696.06,1250816,12.68,18.63,18.24,41.97,324.02,16629.81,46.53,1988,159,1.27117,1.215207,6,1,0,14.03931,0.0
148,6001,1723.83,1271296,12.49,18.34,18.25,41.95,341.36,16590.3,41.16,1989,172,1.35295,1.164166,6,1,0,14.05555,0.0
232,6001,1738.06,1281792,12.34,17.86,18.27,41.8,360.79,16874.97,49.79,1990,188,1.466697,1.809966,6,1,0,14.06377,0.0
200,6001,1752.3,1292288,12.19,17.39,18.29,41.65,374.34,16230.2,70.46,1991,199,1.539904,1.547643,6,1,0,14.07193,0.0
189,6001,1768.26,1304064,12.05,16.92,18.31,41.48,399.99,16787.58,105.52,1992,214,1.641024,1.449315,6,1,0,14.081,0.0
128,6001,1784.117,1315756,12.20979,16.49804,18.31115,49.27821,391.672,16839.13,104.492,1993,199,1.512439,0.9728248,6,1,1,14.08992,0.0076002
105,6001,1787.647,1318359,12.31015,15.86715,18.30351,49.2422,405,16951.95,68.85,1994,187,1.41843,0.7964447,6,1,0,14.0919,0.0
102,6001,1792.566,1321987,12.45058,15.32829,18.2619,49.17144,407.376,17418.77,56.416,1995,58,0.4387335,0.7715659,6,1,0,14.09465,0.0
112,6001,1800.908,1328139,12.591,14.75681,18.19162,48.99947,398.112,17777.23,48.488,1996,142,1.069165,0.8432853,6,1,0,14.09929,0.0
0,6003,1.49,1100,19.45,23.18,0.36,50.34,189.54,10993.31,102.06,1980,1,9.090909,0,6,3,0,7.003066,0.0
0,6003,1.53,1132,18.56,22.97,0.44,50.21,244.85,10258.61,97.72,1981,0,0.0,0,6,3,0,7.031741,0.0
0,6003,1.55,1148,17.5,22.48,0.44,49.73,311.53,10289.97,124.2,1982,0,0.0,0,6,3,0,7.045776,0.0
0,6003,1.52,1120,16.43,22.25,0.45,49.74,307.92,11522.46,157.47,1983,0,0.0,0,6,3,0,7.021084,0.0
0,6003,1.48,1093,15.74,21.4,0.55,48.93,371.91,11743.41,113.4,1984,1,9.149131,0,6,3,0,6.996682,0.0
0,6003,1.57,1157,14.35,20.75,0.43,48.14,287.68,11447.8,77.02,1985,0,0.0,0,6,3,0,7.053586,0.0
0,6003,1.62,1200,13.83,20.16,0.5,47.81,260.2,11051.86,70.3,1986,1,8.333333,0,6,3,0,7.090077,0.0
0,6003,1.55,1143,13.21,18.9,0.52,47.34,297.44,11842.16,65.12,1987,0,0.0,0,6,3,0,7.041412,0.0
1,6003,1.57,1163,12.66,18.23,0.52,46.88,366.32,13503,65.14,1988,1,8.598453,8.598453,6,3,0,7.058758,0.0
0,6003,1.57,1162,11.96,17.65,0.6,46.4,359.11,14991.63,55.68,1989,0,0.0,0,6,3,0,7.057898,0.0
1,6003,1.58,1166,11.68,16.9,0.6,46.24,409.81,14617.57,72,1990,0,0.0,8.576329,6,3,0,7.061334,0.0
0,6003,1.58,1170,11.39,16.16,0.6,46.09,910.16,13085.02,93.22,1991,0,0.0,0,6,3,0,7.064759,0.0
0,6003,1.59,1176,11.11,15.44,0.6,45.94,1113.71,13448.6,150.44,1992,0,0.0,0,6,3,0,7.069874,0.0
0,6003,1.606981,1187,10.36226,15.08003,0.505476,52.90649,1306.496,14794.27,120.408,1993,0,0.0,0,6,3,0,7.079185,0.0
0,6003,1.606981,1187,10.4465,14.23757,0.505476,52.90649,1077.3,14619.83,82.35,1994,0,0.0,0,6,3,0,7.079185,0.0
0,6003,1.655718,1223,10.79313,13.57318,0.4088307,52.1668,1159.152,14655.04,76.752,1995,0,0.0,0,6,3,0,7.109062,0.0
0,6003,1.667903,1232,11.12013,13.31169,0.487013,52.5974,1281.104,14984.71,72.732,1996,0,0.0,0,6,3,0,7.116394,0.0
0,6005,32.91,19500,15.36,13.41,0.97,45.47,147.01,11676.15,161.59,1980,0,0.0,0,6,5,0,9.87817,0.0
1,6005,34.1,20204,14.64,13.93,1.71,46.41,162.5,10982.2,107.6,1981,0,0.0,0.4949515,6,5,0,9.913636,0.0
1,6005,34.77,20604,13.94,14.41,2.36,47.19,148,10723.63,135.58,1982,0,0.0,0.4853427,6,5,0,9.933241,0.0
0,6005,35.61,21100,13.26,14.74,2.94,47.83,150.45,11201.5,129.39,1983,0,0.0,0,6,5,0,9.957028,0.0
4,6005,36.82,21820,12.67,15.02,3.48,48.43,146.07,11790.51,79.76,1984,3,1.374885,1.833181,6,5,0,9.990582,0.0
2,6005,38.24,22660,12.21,15.16,4.0,49.02,145.7,12179.07,69.6,1985,3,1.323919,0.8826125,6,5,0,10.02836,0.0
0,6005,39.44,23372,11.87,15.21,4.42,49.55,145.17,12761.91,71.21,1986,1,0.4278624,0,6,5,0,10.05929,0.0
0,6005,41.39,24528,11.64,15.15,4.81,49.99,141.68,12849.76,51.92,1987,3,1.223092,0,6,5,0,10.10757,0.0
0,6005,45.69,27076,11.48,15.06,5.19,50.41,148.05,12261.07,50.76,1988,0,0.0,0,6,5,0,10.2064,0.0
1,6005,48.84,28940,11.29,15.11,5.5,50.77,146.87,11967.8,41.16,1989,0,0.0,0.3455425,6,5,0,10.27298,0.0
0,6005,50.72,30052,11.15,14.82,5.59,50.8,130.99,11963.38,48.26,1990,0,0.0,0,6,5,0,10.31068,0.0
2,6005,52.6,31168,11.02,14.52,5.66,50.84,140.93,11884.19,69.73,1991,0,0.0,0.6416838,6,5,0,10.34715,0.0
5,6005,54.57,32336,10.89,14.25,5.74,50.89,159,11806.56,119.07,1992,2,0.6185057,1.546264,6,5,0,10.38394,0.0
4,6005,54.58639,32346,10.93489,12.94441,5.156743,55.38243,162.62,12233.87,119.716,1993,2,0.6183144,1.236629,6,5,0,10.38425,0.0
2,6005,55.31542,32778,11.15992,12.31619,5.043016,55.27488,163.35,11965.05,73.575,1994,0,0.0,0.6101654,6,5,0,10.39751,0.0
0,6005,55.82676,33081,11.38418,11.87993,5.051238,55.25226,167.936,12088.11,62.976,1995,0,0.0,0,6,5,0,10.40671,0.0
1,6005,56.22165,33315,11.77248,12.04262,5.553054,55.8097,170.984,11931.88,52.316,1996,0,0.0,0.3001651,6,5,0,10.41376,0.0
11,6007,88.35,144864,15.18,20.73,1.2,42.5,279.45,10891.26,122.71,1980,7,0.4832118,0.7593329,6,7,0,11.88355,0.0
4,6007,90.54,148448,14.82,20.68,1.22,42.51,270.11,10582.52,124.07,1981,4,0.2694546,0.2694546,6,7,0,11.90799,0.0
10,6007,92.65,151904,14.42,20.54,1.23,42.41,271.17,10080.9,160.42,1982,10,0.6583105,0.6583105,6,7,0,11.931,0.0
4,6007,94.07,154240,14.04,20.29,1.24,42.31,278.83,10310.84,148.44,1983,5,0.3241701,0.2593361,6,7,0,11.94627,0.0
3,6007,95.61,156768,13.7,20.0,1.25,42.24,287.34,10528.71,98.98,1984,5,0.3189426,0.1913656,6,7,0,11.96252,0.0
5,6007,97.99,160672,13.49,19.58,1.26,42.15,297.89,10775.01,89.09,1985,3,0.1867158,0.311193,6,7,0,11.98712,0.0
15,6007,99.56,163232,13.36,19.04,1.27,42.07,328.68,11167.81,86.73,1986,7,0.4288375,0.9189374,6,7,0,12.00293,0.0
14,6007,101.82,166944,13.35,18.47,1.28,42.0,352,11373.12,64.24,1987,16,0.9584052,0.8386045,6,7,0,12.02541,0.0
8,6007,104.85,171904,13.34,17.94,1.3,41.88,380.7,11363.47,60.07,1988,5,0.29086,0.465376,6,7,0,12.05469,0.0
22,6007,107.69,176576,13.32,17.56,1.32,41.85,399.46,11432.77,58.91,1989,12,0.679594,1.245922,6,7,0,12.08151,0.0
21,6007,110.84,181728,13.21,17.03,1.33,41.71,409.81,11506.09,68.94,1990,14,0.7703821,1.155573,6,7,0,12.11027,0.0
14,6007,113.98,186880,13.12,16.52,1.35,41.56,424.25,11209.64,93.95,1991,11,0.588613,0.7491438,6,7,0,12.13822,0.0
13,6007,117.3,192320,13.03,16.02,1.36,41.4,452.75,11426.53,148.3,1992,14,0.7279534,0.6759568,6,7,0,12.16692,0.0
4,6007,116.515,191038,13.09949,15.18703,1.378783,49.10908,453.26,11728.02,149.472,1993,6,0.3140737,0.2093824,6,7,0,12.16023,0.0
5,6007,117.286,192302,13.23023,14.42939,1.393121,49.13469,463.725,11780.78,91.125,1994,6,0.3120092,0.2600077,6,7,0,12.16682,0.0
7,6007,117.7031,192986,13.45331,13.8922,1.398029,49.17403,480.192,11834.24,76.096,1995,5,0.2590862,0.3627206,6,7,0,12.17037,0.0
6,6007,117.411,192507,13.64782,13.48419,1.401507,49.18938,499.554,12175.59,68.904,1996,10,0.5194616,0.311677,6,7,0,12.16789,0.0
0,6009,20.51,20920,15.54,12.62,0.37,43.98,229.63,10606.95,110.56,1980,0,0.0,0,6,9,0,9.948461,0.0
2,6009,21.27,21696,15.0,12.29,0.43,43.87,211.91,10382.69,115.29,1981,2,0.9218289,0.9218289,6,9,0,9.984883,0.0
3,6009,22.32,22772,14.44,11.94,0.43,43.63,208.03,9771.43,156.28,1982,2,0.8782716,1.317407,6,9,0,10.03329,0.0
3,6009,23.06,23528,13.95,11.54,0.48,43.43,224.67,10203.52,146.44,1983,2,0.850051,1.275077,6,9,0,10.06595,0.0
4,6009,23.72,24196,13.42,11.13,0.52,43.23,228.72,11026.51,96.1,1984,3,1.239874,1.653166,6,9,0,10.09394,0.0
3,6009,24.38,24872,13.1,10.68,0.55,43.06,228.29,11630.62,77.02,1985,19,7.639112,1.206176,6,9,0,10.1215,0.0
4,6009,25.34,25852,12.82,10.21,0.56,42.91,230.08,12183.98,73.95,1986,3,1.160452,1.547269,6,9,0,10.16014,0.0
4,6009,26.65,27192,12.7,9.71,0.56,42.77,234.08,11878.23,56.32,1987,4,1.471021,1.471021,6,9,0,10.21068,0.0
6,6009,27.69,28248,12.61,9.27,0.58,42.66,237.73,11932.83,54.99,1988,5,1.770037,2.124044,6,9,0,10.24878,0.0
0,6009,29.47,30068,12.53,8.89,0.61,42.56,244.52,12519.8,50.03,1989,1,0.3325795,0,6,9,0,10.31122,0.0
5,6009,31.34,31976,12.45,8.5,0.6,42.39,235.16,12509.54,59.75,1990,4,1.250938,1.563673,6,9,0,10.37274,0.0
7,6009,33.21,33880,12.37,8.17,0.59,42.28,241.49,11921.63,88.81,1991,3,0.8854781,2.066116,6,9,0,10.43058,0.0
1,6009,35.21,35920,12.3,7.84,0.59,42.15,259.53,11611.91,146.16,1992,5,1.391982,0.2783964,6,9,0,10.48905,0.0
1,6009,35.28568,35998,12.47569,7.367076,0.572254,49.72776,253.964,12081.63,144.628,1993,1,0.2777932,0.2777932,6,9,0,10.49122,0.0
6,6009,36.42664,37162,12.57736,6.966794,0.5973845,49.79549,257.175,11990.7,90.45,1994,4,1.076368,1.614552,6,9,0,10.52304,0.0
1,6009,37.00791,37755,12.72679,6.666667,0.6091908,49.88743,262.4,11504.27,72.816,1995,3,0.7945967,0.2648656,6,9,0,10.53887,0.0
4,6009,37.67641,38437,12.81318,6.428701,0.6217967,49.88943,248.82,11438.7,59.334,1996,2,0.520332,1.040664,6,9,0,10.55678,0.0
1,6011,11.18,12870,17.09,15.3,0.65,42.34,211.41,16994.2,106.92,1980,2,1.554002,0.7770007,6,11,0,9.462654,0.0
2,6011,11.46,13184,16.87,15.34,0.67,42.46,198.74,15829.86,98.82,1981,1,0.7584952,1.51699,6,11,0,9.486759,0.0
0,6011,12.05,13872,16.64,15.31,0.63,42.43,185.26,12483.13,135.58,1982,1,0.7208766,0,6,11,0,9.537628,0.0
2,6011,12.26,14110,16.32,15.23,0.65,42.44,189.57,11566.59,187.56,1983,1,0.7087172,1.417434,6,11,0,9.554639,0.0
0,6011,12.3,14156,16.03,15.07,0.67,42.35,211.42,12895.66,138.38,1984,0,0.0,0,6,11,0,9.557894,0.0
0,6011,12.78,14706,15.85,14.84,0.65,42.35,229.22,14262.43,153.12,1985,2,1.359989,0,6,11,0,9.596011,0.0
3,6011,12.98,14934,15.81,14.51,0.66,42.4,247.42,12771.04,149.73,1986,3,2.008839,2.008839,6,11,0,9.611396,0.0
1,6011,13.01,14972,15.85,14.09,0.68,42.38,256.08,14043.91,103.84,1987,1,0.6679134,0.6679134,6,11,0,9.613937,0.0
0,6011,13.46,15494,15.95,13.7,0.7,42.36,259.72,14092.66,97.29,1988,0,0.0,0,6,11,0,9.648208,0.0
2,6011,13.91,16006,16.04,13.43,0.66,42.36,239.68,13993.38,109.75,1989,0,0.0,1.249532,6,11,0,9.680719,0.0
5,6011,14.13,16262,15.99,13.07,0.66,42.25,242.06,14112.02,144.77,1990,1,0.6149305,3.074653,6,11,0,9.696587,0.0
1,6011,14.36,16520,15.93,12.72,0.65,42.08,266.44,14337.95,200.38,1991,1,0.6053269,0.6053268,6,11,0,9.712327,0.0
2,6011,14.59,16788,15.88,12.38,0.65,41.97,290.9,13911.34,308.73,1992,1,0.5956635,1.191327,6,11,0,9.728419,0.0
2,6011,14.94121,17194,16.09864,11.92276,0.6281261,51.48307,278.876,14031.68,307.248,1993,1,0.5815982,1.163196,6,11,0,9.752316,0.0
0,6011,15.22537,17521,16.06643,11.52902,0.6449404,51.57811,286.875,12501,187.65,1994,0,0.0,0,6,11,0,9.771155,0.0
5,6011,15.53646,17879,16.15303,11.15834,0.6711785,51.59684,303.728,12841.86,173.84,1995,1,0.5593154,2.796577,6,11,0,9.791382,0.0
0,6011,15.83539,18223,16.27065,10.89283,0.702409,51.74779,290.928,13027.32,168.432,1996,0,0.0,0,6,11,0,9.81044,0.0
38,6013,914.3,658560,17.25,16.32,9.22,41.76,229.63,16260.34,65.61,1980,48,0.728863,0.5770165,6,13,0,13.39781,0.0
44,6013,926.21,667136,16.67,16.49,9.23,41.81,215.21,16328.35,64.78,1981,57,0.8543985,0.6595356,6,13,0,13.41075,0.0
38,6013,942.38,678784,15.98,16.59,9.24,41.75,212.17,16187.4,97.29,1982,50,0.7366114,0.5598246,6,13,0,13.42806,0.0
41,6013,958.02,690048,15.34,16.58,9.25,41.66,210.63,16835.34,103.31,1983,45,0.6521286,0.5941616,6,13,0,13.44452,0.0
51,6013,970.1,698752,14.71,16.51,9.25,41.6,203.73,17656.44,72.07,1984,67,0.9588524,0.7298727,6,13,0,13.45705,0.0
40,6013,987.52,711296,14.23,16.34,9.25,41.58,195.81,18233.34,65.89,1985,62,0.8716484,0.5623538,6,13,0,13.47484,0.0
49,6013,1006.89,725248,13.81,16.04,9.25,41.5,201.77,18983.09,66.65,1986,53,0.7307845,0.6756309,6,13,0,13.49427,0.0
45,6013,1027.15,739840,13.54,15.68,9.28,41.48,209.44,19167.27,55.44,1987,51,0.6893382,0.6082396,6,13,0,13.51419,0.0
51,6013,1053.98,759168,13.27,15.33,9.32,41.42,219.11,19419.08,49.07,1988,75,0.9879236,0.6717881,6,13,0,13.53998,0.0
46,6013,1088.81,784256,13.01,15.1,9.36,41.39,233.22,19578.63,42.77,1989,78,0.9945732,0.5865432,6,13,0,13.57249,0.0
63,6013,1113.51,802048,12.85,14.66,9.42,41.25,245.89,19501.59,53.62,1990,70,0.8727657,0.7854892,6,13,0,13.59492,0.0
86,6013,1138.04,819712,12.69,14.25,9.48,41.1,256.9,18985.64,77.07,1991,107,1.305336,1.049149,6,13,0,13.61671,0.0
62,6013,1164.16,838528,12.52,13.84,9.53,40.96,276.64,19315.16,114.08,1992,86,1.025607,0.739391,6,13,0,13.6394,0.0
72,6013,1183.396,852383,12.73055,13.22352,9.571167,48.96531,267.804,19953.13,113.488,1993,113,1.325695,0.8446907,6,13,0,13.65579,0.0
89,6013,1196.236,861631,12.83415,12.67317,9.605852,48.97329,267.975,20054.25,76.275,1994,120,1.392708,1.032925,6,13,0,13.66658,0.0
58,6013,1208.895,870749,12.98262,12.15276,9.599322,48.91433,272.896,20510.5,61.664,1995,80,0.9187493,0.6660932,6,13,0,13.67711,0.0
67,6013,1223.807,881490,13.12119,11.77903,9.583319,48.88518,262.218,20978.08,52.316,1996,71,0.8054544,0.7600766,6,13,0,13.68937,0.0
6,6015,18.18,18328,16.02,16.8,0.41,42.68,297.67,11073.51,358.42,1980,3,1.63684,3.27368,6,15,0,9.816185,0.0
4,6015,18.64,18792,15.6,17.1,0.86,43.26,322.81,9869.92,355.75,1981,2,1.064283,2.128565,6,15,0,9.841187,0.0
3,6015,18.43,18572,15.18,17.31,1.27,43.65,341.55,8842,471.96,1982,2,1.07689,1.615335,6,15,0,9.829411,0.0
2,6015,18.55,18700,14.7,17.46,1.68,44.03,357.07,8856.48,317.95,1983,5,2.673797,1.069519,6,15,0,9.836279,0.0
7,6015,18.36,18508,14.26,17.48,2.06,44.4,396.89,9101.63,159.53,1984,2,1.080614,3.782148,6,15,0,9.825958,0.0
3,6015,18.56,18704,13.92,17.42,2.39,44.75,424.1,9282.78,118.78,1985,3,1.603935,1.603935,6,15,0,9.836493,0.0
2,6015,18.93,19084,13.69,17.25,2.73,45.09,462.89,9471.46,93.13,1986,1,0.5239992,1.047998,6,15,0,9.856606,0.0
0,6015,19.37,19524,13.59,16.99,3.03,45.38,479.6,9248.8,77.44,1987,2,1.02438,0,6,15,0,9.879399,0.0
3,6015,20.15,20308,13.51,16.74,3.32,45.64,493.22,9003.13,77.83,1988,5,2.462084,1.47725,6,15,0,9.91877,0.0
4,6015,21.1,21268,13.44,16.58,3.58,45.89,473.71,9139.27,80.7,1989,1,0.47019,1.88076,6,15,0,9.964959,0.0
0,6015,23.1,23280,13.37,16.16,3.65,45.85,459.6,9657.73,100.35,1990,1,0.4295533,0,6,15,0,10.05535,0.0
3,6015,25.1,25296,13.31,15.8,3.7,45.8,453.61,9163.25,108.63,1991,4,1.581278,1.185958,6,15,0,10.1384,0.0
3,6015,27.28,27496,13.24,15.46,3.76,45.77,490.54,9182.73,166.84,1992,3,1.091068,1.091068,6,15,0,10.2218,0.0
4,6015,26.69745,26908,13.17824,15.80942,4.519102,55.44819,495.472,9546.832,150.856,1993,1,0.3716367,1.486547,6,15,0,10.20018,0.0
0,6015,26.94847,27161,13.2138,15.62535,4.793638,55.83373,512.325,9486.45,93.825,1994,1,0.368175,0,6,15,0,10.20954,0.0
0,6015,26.61411,26824,13.49911,14.5765,4.350582,55.23412,516.272,9335.536,83.312,1995,0,0.0,0,6,15,0,10.19705,0.0
0,6015,26.73615,26947,13.67128,14.13887,4.301035,55.05251,532.092,9239.516,68.904,1996,0,0.0,0,6,15,0,10.20163,0.0
7,6017,50.58,86576,15.48,18.05,0.36,43.38,159.16,12425.8,148.23,1980,9,1.039549,0.8085382,6,17,0,11.36878,0.0
8,6017,52.21,89360,15.06,17.47,0.38,43.29,162.5,12138.38,107.6,1981,6,0.6714414,0.8952551,6,17,0,11.40043,0.0
14,6017,54.0,92416,14.58,16.88,0.4,43.12,166.63,11682.04,127.3,1982,9,0.9738573,1.514889,6,17,0,11.43406,0.0
10,6017,54.59,93424,14.14,16.25,0.42,42.93,169.51,12292.77,112.34,1983,7,0.7492721,1.070389,6,17,0,11.4449,0.0
9,6017,55.72,95360,13.72,15.57,0.42,42.79,155.68,12994.64,80.72,1984,6,0.6291946,0.943792,6,17,0,11.46541,0.0
12,6017,57.9,99088,13.41,14.85,0.44,42.63,158.69,13485.7,74.24,1985,8,0.8073632,1.211045,6,17,0,11.50376,0.0
4,6017,59.86,102448,13.2,14.08,0.45,42.48,167.08,14269.27,70.3,1986,9,0.8784944,0.390442,6,17,0,11.53711,0.0
16,6017,62.43,106848,13.13,13.29,0.47,42.39,172.48,14341.36,54.56,1987,10,0.935909,1.497454,6,17,0,11.57916,0.0
13,6017,65.83,112672,13.09,12.57,0.47,42.28,170.89,14283.02,49.91,1988,6,0.5325192,1.153792,6,17,0,11.63224,0.0
