individual,mode,choice,ttme,invc,invt,gc,hinc,psize
1,0,0.0,69.0,59.0,100.0,70.0,35.0,1.0
1,1,0.0,34.0,31.0,372.0,71.0,35.0,1.0
1,2,0.0,35.0,25.0,417.0,70.0,35.0,1.0
1,3,1.0,0.0,10.0,180.0,30.0,35.0,1.0
2,0,0.0,64.0,58.0,68.0,68.0,30.0,2.0
2,1,0.0,44.0,31.0,354.0,84.0,30.0,2.0
2,2,0.0,53.0,25.0,399.0,85.0,30.0,2.0
2,3,1.0,0.0,11.0,255.0,50.0,30.0,2.0
3,0,0.0,69.0,115.0,125.0,129.0,40.0,1.0
3,1,0.0,34.0,98.0,892.0,195.0,40.0,1.0
3,2,0.0,35.0,53.0,882.0,149.0,40.0,1.0
3,3,1.0,0.0,23.0,720.0,101.0,40.0,1.0
4,0,0.0,64.0,49.0,68.0,59.0,70.0,3.0
4,1,0.0,44.0,26.0,354.0,79.0,70.0,3.0
4,2,0.0,53.0,21.0,399.0,81.0,70.0,3.0
4,3,1.0,0.0,5.0,180.0,32.0,70.0,3.0
5,0,0.0,64.0,60.0,144.0,82.0,45.0,2.0
5,1,0.0,44.0,32.0,404.0,93.0,45.0,2.0
5,2,0.0,53.0,26.0,449.0,94.0,45.0,2.0
5,3,1.0,0.0,8.0,600.0,99.0,45.0,2.0
6,0,0.0,69.0,59.0,100.0,70.0,20.0,1.0
6,1,1.0,40.0,20.0,345.0,57.0,20.0,1.0
6,2,0.0,35.0,13.0,417.0,58.0,20.0,1.0
6,3,0.0,0.0,12.0,284.0,43.0,20.0,1.0
7,0,1.0,45.0,148.0,115.0,160.0,45.0,1.0
7,1,0.0,34.0,111.0,945.0,213.0,45.0,1.0
7,2,0.0,35.0,66.0,935.0,167.0,45.0,1.0
7,3,0.0,0.0,36.0,821.0,125.0,45.0,1.0
8,0,0.0,69.0,121.0,152.0,137.0,12.0,1.0
8,1,0.0,34.0,52.0,889.0,149.0,12.0,1.0
8,2,0.0,35.0,50.0,879.0,146.0,12.0,1.0
8,3,1.0,0.0,50.0,780.0,135.0,12.0,1.0
9,0,0.0,69.0,59.0,100.0,70.0,40.0,1.0
9,1,0.0,34.0,31.0,372.0,71.0,40.0,1.0
9,2,0.0,35.0,25.0,417.0,70.0,40.0,1.0
9,3,1.0,0.0,17.0,210.0,40.0,40.0,1.0
10,0,0.0,69.0,58.0,68.0,65.0,70.0,2.0
10,1,0.0,34.0,31.0,357.0,69.0,70.0,2.0
10,2,0.0,35.0,25.0,402.0,68.0,70.0,2.0
10,3,1.0,0.0,7.0,210.0,30.0,70.0,2.0
11,0,0.0,64.0,58.0,68.0,68.0,15.0,2.0
11,1,0.0,44.0,16.0,357.0,70.0,15.0,2.0
11,2,0.0,53.0,13.0,402.0,73.0,15.0,2.0
11,3,1.0,0.0,4.0,210.0,36.0,15.0,2.0
12,0,0.0,64.0,62.0,108.0,79.0,35.0,2.0
