mare,stime,follicles,sin1,cos1,time
1,-.1363636,20,-.7557494,.65486091,1
1,-.090909101,15,-.54064089,.84125352,2
1,-.045454551,19,-.28173259,.95949298,3
1,0,16,0,1,4
1,.045454551,13,.28173259,.95949298,5
1,.090909101,10,.54064089,.84125352,6
1,.1363636,12,.7557494,.65486091,7
1,.1818182,14,.90963203,.4154149,8
1,.2272727,13,.98982143,.14231499,9
1,.27272731,20,.98982143,-.14231507,10
1,.31818181,22,.90963203,-.41541499,11
1,.3636364,15,.7557494,-.65486091,12
1,.40909091,18,.54064083,-.84125352,13
1,.4545455,17,.28173229,-.95949304,14
1,.5,14,1.2246469e-16,-1,15
1,.5454545,18,-.28173229,-.95949304,16
1,.59090912,14,-.54064101,-.8412534,17
1,.63636363,16,-.75574952,-.65486079,18
1,.68181819,17,-.90963203,-.41541499,19
1,.72727269,18,-.98982143,-.14231507,20
1,.77272731,18,-.98982143,.14231507,21
1,.81818181,17,-.90963203,.41541499,22
1,.86363637,14,-.75574952,.65486079,23
1,.90909088,12,-.54064101,.8412534,24
1,.9545455,12,-.28173229,.95949304,25
1,1,14,-2.4492937e-16,1,26
1,1.045455,10,.28173518,.95949221,27
1,1.090909,11,.54064035,.84125382,28
1,1.136364,16,.75575101,.65485907,29
2,-.15000001,6,-.809017,.58778524,1
2,-.1,6,-.58778524,.809017,2
2,-.050000001,8,-.309017,.95105654,3
2,0,7,0,1,4
2,.050000001,16,.309017,.95105654,5
2,.1,10,.58778524,.809017,6
2,.15000001,13,.809017,.58778524,7
2,.2,9,.95105654,.30901697,8
2,.25,7,1,6.1232343e-17,9
2,.30000001,6,.95105648,-.30901706,10
2,.34999999,8,.809017,-.58778524,11
2,.40000001,8,.58778524,-.809017,12
2,.44999999,6,.30901706,-.95105648,13
2,.5,8,1.2246469e-16,-1,14
2,.55000001,7,-.30901706,-.95105648,15
2,.60000002,9,-.58778536,-.80901688,16
2,.64999998,6,-.80901688,-.58778536,17
2,.69999999,4,-.95105648,-.30901706,18
2,.75,5,-1,-1.8369701e-16,19
2,.80000001,8,-.95105648,.30901706,20
2,.85000002,11,-.80901688,.58778536,21
2,.89999998,13,-.58778536,.80901688,22
2,.94999999,10,-.30901706,.95105648,23
2,1,6,-2.4492937e-16,1,24
2,1.05,7,.3090167,.9510566,25
2,1.1,6,.58778536,.80901688,26
2,1.15,5,.80901688,.58778536,27
3,-.1578947,13,-.83716637,.54694837,1
3,-.1052632,11,-.61421293,.78914034,2
3,-.052631579,10,-.32469946,.94581723,3
3,0,6,0,1,4
3,.052631579,8,.32469946,.94581723,5
3,.1052632,6,.61421293,.78914034,6
3,.1578947,9,.83716637,.54694837,7
3,.2105263,9,.96940023,.24548557,8
3,.2631579,10,.99658448,-.082579404,9
3,.31578949,8,.91577327,-.40169552,10
3,.36842111,14,.73572367,-.6772818,11
3,.4210526,13,.47594753,-.87947369,12
3,.47368419,14,.16459471,-.98636127,13
3,.52631581,16,-.16459471,-.98636127,14
3,.57894742,20,-.47594771,-.87947357,15
3,.63157898,21,-.73572403,-.67728144,16
3,.68421048,25,-.91577321,-.4016957,17
3,.7368421,23,-.99658448,-.082579404,18
3,.78947371,19,-.96940023,.24548566,19
3,.84210533,22,-.83716625,.54694849,20
3,.89473683,16,-.61421281,.78914046,21
3,.94736838,21,-.3246997,.94581717,22
3,1,19,-2.4492937e-16,1,23
3,1.052632,20,.32470182,.94581646,24
3,1.105263,17,.61421192,.78914112,25
3,1.157895,24,.83716726,.54694694,26
4,-.1363636,9,-.7557494,.65486091,1
4,-.090909101,9,-.54064089,.84125352,2
4,-.045454551,7,-.28173259,.95949298,3
4,0,6,0,1,4
4,.045454551,7,.28173259,.95949298,5
4,.090909101,6,.54064089,.84125352,6
4,.1363636,1,.7557494,.65486091,7
4,.1818182,1,.90963203,.4154149,8
4,.2272727,1,.98982143,.14231499,9
4,.27272731,5,.98982143,-.14231507,10
4,.31818181,6,.90963203,-.41541499,11
4,.3636364,3,.7557494,-.65486091,12
4,.40909091,5,.54064083,-.84125352,13
4,.4545455,3,.28173229,-.95949304,14
4,.5,6,1.2246469e-16,-1,15
4,.5454545,8,-.28173229,-.95949304,16
4,.59090912,6,-.54064101,-.8412534,17
4,.63636363,5,-.75574952,-.65486079,18
4,.68181819,6,-.90963203,-.41541499,19
4,.72727269,8,-.98982143,-.14231507,20
4,.77272731,11,-.98982143,.14231507,21
4,.81818181,14,-.90963203,.41541499,22
4,.86363637,8,-.75574952,.65486079,23
4,.90909088,9,-.54064101,.8412534,24
4,.9545455,10,-.28173229,.95949304,25
4,1,7,-2.4492937e-16,1,26
4,1.045455,7,.28173518,.95949221,27
4,1.090909,6,.54064035,.84125382,28
4,1.136364,11,.75575101,.65485907,29
5,-.1363636,10,-.7557494,.65486091,1
5,-.090909101,12,-.54064089,.84125352,2
5,-.045454551,12,-.28173259,.95949298,3
5,0,17,0,1,4
5,.045454551,9,.28173259,.95949298,5
5,.090909101,10,.54064089,.84125352,6
5,.1363636,3,.7557494,.65486091,7
5,.1818182,12,.90963203,.4154149,8
5,.2272727,13,.98982143,.14231499,9
5,.27272731,9,.98982143,-.14231507,10
5,.31818181,4,.90963203,-.41541499,11
5,.3636364,7,.7557494,-.65486091,12
5,.40909091,4,.54064083,-.84125352,13
5,.4545455,12,.28173229,-.95949304,14
5,.5,14,1.2246469e-16,-1,15
5,.5454545,12,-.28173229,-.95949304,16
5,.59090912,15,-.54064101,-.8412534,17
5,.63636363,17,-.75574952,-.65486079,18
5,.68181819,15,-.90963203,-.41541499,19
5,.72727269,13,-.98982143,-.14231507,20
5,.77272731,18,-.98982143,.14231507,21
5,.81818181,19,-.90963203,.41541499,22
5,.86363637,13,-.75574952,.65486079,23
5,.90909088,9,-.54064101,.8412534,24
5,.9545455,12,-.28173229,.95949304,25
5,1,8,-2.4492937e-16,1,26
5,1.045455,10,.28173518,.95949221,27
5,1.090909,5,.54064035,.84125382,28
5,1.136364,14,.75575101,.65485907,29
6,-.1363636,16,-.7557494,.65486091,1
6,-.090909101,17,-.54064089,.84125352,2
6,-.045454551,13,-.28173259,.95949298,3
6,0,17,0,1,4
6,.045454551,15,.28173259,.95949298,5
6,.090909101,9,.54064089,.84125352,6
6,.1363636,8,.7557494,.65486091,7
6,.1818182,5,.90963203,.4154149,8
6,.2272727,9,.98982143,.14231499,9
6,.27272731,8,.98982143,-.14231507,10
6,.31818181,8,.90963203,-.41541499,11
6,.3636364,13,.7557494,-.65486091,12
6,.40909091,14,.54064083,-.84125352,13
6,.4545455,13,.28173229,-.95949304,14
6,.5,14,1.2246469e-16,-1,15
6,.5454545,14,-.28173229,-.95949304,16
6,.59090912,11,-.54064101,-.8412534,17
6,.63636363,17,-.75574952,-.65486079,18
6,.68181819,21,-.90963203,-.41541499,19
6,.72727269,21,-.98982143,-.14231507,20
6,.77272731,21,-.98982143,.14231507,21
6,.81818181,20,-.90963203,.41541499,22
6,.86363637,17,-.75574952,.65486079,23
6,.90909088,18,-.54064101,.8412534,24
